asset,date_time,component,guid,path,filename
F08,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F08.jpeg,20250711-F08.jpeg
F09,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F09.jpeg,20250711-F09.jpeg
F11,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F11.jpeg,20250711-F11.jpeg
F12,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F12.jpeg,20250711-F12.jpeg
F13,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F13.jpeg,20250711-F13.jpeg
F14,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F14.jpeg,20250711-F14.jpeg
F15,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F15.jpeg,20250711-F15.jpeg
F51,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F51.jpeg,20250711-F51.jpeg
F52,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F52.jpeg,20250711-F52.jpeg
F53,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F53.jpeg,20250711-F53.jpeg
F61,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F61.jpeg,20250711-F61.jpeg
